espessura    | canal       | deducao
-------------|-------------|--------
0,5mm        | 6           | 1.2
0,5mm        | 10          | 1.0
0,8mm        | 6           | 1.6
0,8mm        | 10          | 1.6
1,0mm        | 5           | 1.8
1,0mm        | 6           | 1.7
1,0mm        | 10          | 2.0
1,0mm        | R=28        | 0.5
1,2mm        | 5           | 2.0
1,2mm        | 6           | 2.0
1,2mm        | 10          | 2.4
1,5mm        | 5           | 2.5
1,5mm        | 10          | 3.0
2,0mm        | 6           | 3.5
2,0mm        | 10          | 4.0
2,5mm        | 6           | 4.5
2,5mm        | 10          | 5.0
3,0mm        | 6           | 5.5
3,0mm        | 10          | 6.0
4,0mm        | 6           | 7.5
4,0mm        | 10          | 8.0
4,8mm        | 6           | 9.0
4,8mm        | 10          | 10.0
6,4mm        | 35          | 10.7
6,4mm        | 50          | 11.7
7,9mm        | 35          | 13.0
7,9mm        | 50          | 14.0
7,9mm        | 55          | 14.5
7,9mm        | 80          | 15.4
9,5mm        | 35          | 14.8
9,5mm        | 50          | 16.0
9,5mm        | 80          | 17.5
12,7mm       | 55          | 20.5
12,7mm       | 80          | 22.5
15,9mm       | 80          | 28.2
