id     | nome       | valor
-------|------------|------
1      | 0,5mm      | 0.5
2      | 0,8mm      | 0.8
3      | 1,0mm      | 1.0
4      | 1,2mm      | 1.2
5      | 1,5mm      | 1.5
6      | 2,0mm      | 2.0
7      | 2,5mm      | 2.5
8      | 2,7mm      | 2.7
9      | 2,7mm (Rittal) | 2.7
10     | 3,0mm      | 3.0
11     | 3,2mm      | 3.2
12     | 4,0mm      | 4.0
13     | 4,2mm      | 4.2
14     | 4,3mm      | 4.3
15     | 4,8mm      | 4.8
16     | 5,0mm      | 5.0
17     | 6,0mm      | 6.0
18     | 6,4mm      | 6.4
19     | 7,9mm      | 7.9
20     | 8,0mm      | 8.0
21     | 9,5mm      | 9.5
22     | 10,0mm     | 10.0
23     | 12,7mm     | 12.7
24     | 15,9mm     | 15.9
25     | 16,0mm     | 16.0
